headers=17
lattice=1
N=1024
D=2
phi=0.000488
folded=1
x0_lo=-0.500000
x0_hi=127.500000
x1_lo=-0.500000
x1_hi=127.500000
x0_periodic=1
x1_periodic=1
iters=33739
alpha=-0.500000
seedMass=1000000000000.000000
maxAttachments=4
columns=12
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4
0,94,44,1,1,1,2,11,851,NaN,NaN
1,89,98,1,1,1,2,403,621,NaN,NaN
2,47,20,1,1,1,2,602,345,NaN,NaN
3,42,28,1,1,1,3,838,478,116,NaN
4,96,39,1,1,1,2,559,875,NaN,NaN
5,120,15,1,1,1,3,360,425,47,NaN
6,3,64,1,1,1,2,107,402,NaN,NaN
7,56,10,1,1,1,2,396,681,NaN,NaN
8,5,117,1,1,1,1,202,NaN,NaN,NaN
9,93,36,1,1,1,2,582,123,NaN,NaN
10,21,5,1,1,1,1,708,NaN,NaN,NaN
11,95,44,1,1,1,2,0,938,NaN,NaN
12,119,100,1,1,1,2,346,551,NaN,NaN
13,12,14,1,1,1,3,233,584,343,NaN
14,92,22,1,1,1,3,991,390,517,NaN
15,54,92,1,1,1,2,77,575,NaN,NaN
16,5,64,1,1,1,2,107,836,NaN,NaN
17,22,10,1,1,1,2,776,266,NaN,NaN
18,38,100,1,1,1,2,126,365,NaN,NaN
19,24,0,1,1,1,2,568,691,NaN,NaN
20,44,31,1,1,1,3,964,421,804,NaN
21,53,12,1,1,1,2,883,778,NaN,NaN
22,92,33,1,1,1,2,858,141,NaN,NaN
23,26,102,1,1,1,2,496,827,NaN,NaN
24,27,103,1,1,1,2,897,496,NaN,NaN
25,97,38,1,1,1,2,895,559,NaN,NaN
26,102,104,1,1,1,3,524,954,532,NaN
27,109,96,1,1,1,2,216,608,NaN,NaN
28,109,47,1,1,1,2,420,792,NaN,NaN
29,89,101,1,1,1,3,419,519,474,NaN
30,5,118,1,1,1,3,865,495,256,NaN
31,10,53,1,1,1,2,189,309,NaN,NaN
32,9,4,1,1,1,2,513,198,NaN,NaN
33,9,65,1,1,1,3,674,720,516,NaN
34,90,102,1,1,1,2,519,280,NaN,NaN
35,111,16,1,1,1,2,69,389,NaN,NaN
36,94,32,1,1,1,2,472,428,NaN,NaN
37,108,41,1,1,1,2,325,518,NaN,NaN
38,2,10,1,1,1,3,164,811,1015,NaN
39,21,123,1,1,1,2,1022,646,NaN,NaN
40,31,99,1,1,1,3,457,143,577,NaN
41,19,127,1,1,1,2,377,508,NaN,NaN
42,1,9,1,1,1,2,1015,612,NaN,NaN
43,20,101,1,1,1,2,907,525,NaN,NaN
44,43,111,1,1,1,3,385,505,686,NaN
45,86,99,1,1,1,2,975,610,NaN,NaN
46,109,102,1,1,1,2,992,248,NaN,NaN
47,121,15,1,1,1,2,1018,5,NaN,NaN
48,117,47,1,1,1,1,894,NaN,NaN,NaN
49,99,112,1,1,1,2,884,378,NaN,NaN
50,31,97,1,1,1,3,861,657,147,NaN
51,97,109,1,1,1,2,200,1019,NaN,NaN
52,104,98,1,1,1,2,203,544,NaN,NaN
53,107,14,1,1,1,2,366,283,NaN,NaN
54,38,106,1,1,1,2,742,484,NaN,NaN
55,23,94,1,1,1,2,295,769,NaN,NaN
56,4,51,1,1,1,3,124,957,863,NaN
57,28,2,1,1,1,2,426,845,NaN,NaN
58,111,18,1,1,1,2,136,92,NaN,NaN
59,87,98,1,1,1,2,621,610,NaN,NaN
60,105,12,1,1,1,2,362,761,NaN,NaN
61,97,44,1,1,1,2,961,938,NaN,NaN
62,14,7,1,1,1,1,397,NaN,NaN,NaN
63,104,34,1,1,1,2,251,756,NaN,NaN
64,11,119,1,1,1,3,492,520,180,NaN
65,12,71,1,1,1,1,919,NaN,NaN,NaN
66,20,115,1,1,1,2,440,748,NaN,NaN
67,30,95,1,1,1,4,888,246,685,511
68,10,6,1,1,1,2,145,104,NaN,NaN
69,111,15,1,1,1,2,35,996,NaN,NaN
70,91,26,1,1,1,2,393,416,NaN,NaN
71,9,56,1,1,1,2,138,424,NaN,NaN
72,43,27,1,1,1,2,270,478,NaN,NaN
73,23,127,1,1,1,2,730,691,NaN,NaN
74,7,59,1,1,1,2,131,948,NaN,NaN
75,47,104,1,1,1,3,204,561,475,NaN
76,35,2,1,1,1,2,288,931,NaN,NaN
77,55,92,1,1,1,2,267,15,NaN,NaN
78,95,108,1,1,1,3,631,162,140,NaN
79,37,30,1,1,1,1,231,NaN,NaN,NaN
80,119,17,1,1,1,3,459,398,498,NaN
81,1,58,1,1,1,1,1009,NaN,NaN,NaN
82,115,100,1,1,1,3,160,978,831,NaN
83,95,26,1,1,1,2,987,553,NaN,NaN
84,15,124,1,1,1,2,411,615,NaN,NaN
85,20,124,1,1,1,1,110,NaN,NaN,NaN
86,4,56,1,1,1,2,623,600,NaN,NaN
87,59,92,1,1,1,2,750,701,NaN,NaN
88,54,15,1,1,1,2,835,823,NaN,NaN
89,100,28,1,1,1,1,113,NaN,NaN,NaN
90,24,100,1,1,1,4,912,205,209,640
91,50,18,1,1,1,1,476,NaN,NaN,NaN
92,111,17,1,1,1,2,58,955,NaN,NaN
93,10,67,1,1,1,2,932,576,NaN,NaN
94,6,54,1,1,1,1,856,NaN,NaN,NaN
95,88,106,1,1,1,2,438,843,NaN,NaN
96,105,10,1,1,1,1,936,NaN,NaN,NaN
97,121,49,1,1,1,1,726,NaN,NaN,NaN
98,95,104,1,1,1,3,418,433,652,NaN
99,106,47,1,1,1,3,719,321,740,NaN
100,24,95,1,1,1,2,971,769,NaN,NaN
101,44,33,1,1,1,2,804,1008,NaN,NaN
102,13,122,1,1,1,3,853,911,754,NaN
103,36,27,1,1,1,2,279,872,NaN,NaN
104,10,7,1,1,1,2,206,68,NaN,NaN
105,4,53,1,1,1,3,731,863,391,NaN
106,99,39,1,1,1,3,302,490,629,NaN
107,4,64,1,1,1,2,6,16,NaN,NaN
108,49,112,1,1,1,2,794,226,NaN,NaN
109,115,51,1,1,1,2,566,683,NaN,NaN
110,19,124,1,1,1,3,648,85,816,NaN
111,22,118,1,1,1,2,317,534,NaN,NaN
112,31,12,1,1,1,2,491,562,NaN,NaN
