headers=17
lattice=1
N=1024
D=2
maxAttachments=4
folded=0
phi=0.000488
iters=33413
alpha=-0.500000
x0_lo=-0.500000
x0_hi=127.500000
x1_lo=-0.500000
x1_hi=127.500000
x0_periodic=1
x1_periodic=1
seedMass=1000000000000.000000
columns=12
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4
0,89.000000,93.000000,1,1,1.000000,2,930,968,NaN,NaN
1,186.000000,107.000000,1,1,1.000000,2,891,89,NaN,NaN
2,196.000000,120.000000,1,1,1.000000,2,1008,744,NaN,NaN
3,95.000000,86.000000,1,1,1.000000,2,855,697,NaN,NaN
4,171.000000,132.000000,1,1,1.000000,2,479,700,NaN,NaN
5,138.000000,93.000000,1,1,1.000000,2,999,873,NaN,NaN
6,102.000000,98.000000,1,1,1.000000,2,267,452,NaN,NaN
7,173.000000,107.000000,1,1,1.000000,3,903,747,183,NaN
8,143.000000,97.000000,1,1,1.000000,1,657,NaN,NaN,NaN
9,155.000000,106.000000,1,1,1.000000,1,151,NaN,NaN,NaN
10,157.000000,125.000000,1,1,1.000000,2,934,250,NaN,NaN
11,179.000000,100.000000,1,1,1.000000,3,803,1017,966,NaN
12,186.000000,95.000000,1,1,1.000000,2,194,40,NaN,NaN
13,104.000000,90.000000,1,1,1.000000,2,454,634,NaN,NaN
14,185.000000,102.000000,1,1,1.000000,2,539,788,NaN,NaN
15,132.000000,87.000000,1,1,1.000000,2,835,834,NaN,NaN
16,157.000000,111.000000,1,1,1.000000,1,113,NaN,NaN,NaN
17,167.000000,135.000000,1,1,1.000000,2,469,589,NaN,NaN
18,145.000000,69.000000,1,1,1.000000,1,920,NaN,NaN,NaN
19,131.000000,86.000000,1,1,1.000000,3,62,335,835,NaN
20,116.000000,90.000000,1,1,1.000000,1,474,NaN,NaN,NaN
21,190.000000,108.000000,1,1,1.000000,3,770,291,990,NaN
22,163.000000,123.000000,1,1,1.000000,3,609,196,662,NaN
23,104.000000,61.000000,1,1,1.000000,1,846,NaN,NaN,NaN
24,154.000000,102.000000,1,1,1.000000,3,225,338,223,NaN
25,94.000000,82.000000,1,1,1.000000,2,905,251,NaN,NaN
26,153.000000,106.000000,1,1,1.000000,1,241,NaN,NaN,NaN
27,147.000000,105.000000,1,1,1.000000,4,33,721,88,950
28,186.000000,116.000000,1,1,1.000000,3,376,828,127,NaN
29,94.000000,88.000000,1,1,1.000000,2,324,455,NaN,NaN
30,88.000000,103.000000,1,1,1.000000,3,913,557,405,NaN
31,157.000000,99.000000,1,1,1.000000,1,726,NaN,NaN,NaN
32,163.000000,117.000000,1,1,1.000000,2,145,836,NaN,NaN
33,146.000000,105.000000,1,1,1.000000,1,27,NaN,NaN,NaN
34,151.000000,106.000000,1,1,1.000000,3,756,241,964,NaN
35,186.000000,133.000000,1,1,1.000000,1,583,NaN,NaN,NaN
36,106.000000,91.000000,1,1,1.000000,2,43,774,NaN,NaN
37,122.000000,90.000000,1,1,1.000000,3,458,420,616,NaN
38,121.000000,88.000000,1,1,1.000000,2,618,805,NaN,NaN
39,119.000000,86.000000,1,1,1.000000,3,417,509,806,NaN
40,185.000000,95.000000,1,1,1.000000,2,619,12,NaN,NaN
41,193.000000,132.000000,1,1,1.000000,1,98,NaN,NaN,NaN
42,135.000000,97.000000,1,1,1.000000,2,741,236,NaN,NaN
43,105.000000,91.000000,1,1,1.000000,4,36,211,402,454
44,195.000000,133.000000,1,1,1.000000,2,751,750,NaN,NaN
45,133.000000,79.000000,1,1,1.000000,3,648,759,462,NaN
46,199.000000,125.000000,1,1,1.000000,2,401,282,NaN,NaN
47,181.000000,131.000000,1,1,1.000000,2,185,468,NaN,NaN
48,144.000000,86.000000,1,1,1.000000,3,215,831,65,NaN
49,97.000000,69.000000,1,1,1.000000,2,461,1013,NaN,NaN
50,147.000000,71.000000,1,1,1.000000,2,341,79,NaN,NaN
51,186.000000,92.000000,1,1,1.000000,1,179,NaN,NaN,NaN
52,144.000000,88.000000,1,1,1.000000,1,542,NaN,NaN,NaN
53,105.000000,86.000000,1,1,1.000000,2,694,743,NaN,NaN
54,110.000000,94.000000,1,1,1.000000,2,568,730,NaN,NaN
55,113.000000,96.000000,1,1,1.000000,3,443,163,106,NaN
56,169.000000,106.000000,1,1,1.000000,3,940,668,357,NaN
57,155.000000,113.000000,1,1,1.000000,3,447,773,166,NaN
58,180.000000,99.000000,1,1,1.000000,2,966,263,NaN,NaN
59,143.000000,82.000000,1,1,1.000000,4,595,881,958,827
60,151.000000,102.000000,1,1,1.000000,2,359,150,NaN,NaN
61,95.000000,103.000000,1,1,1.000000,2,594,99,NaN,NaN
62,132.000000,86.000000,1,1,1.000000,2,19,81,NaN,NaN
63,91.000000,96.000000,1,1,1.000000,3,777,446,749,NaN
64,185.000000,97.000000,1,1,1.000000,2,619,728,NaN,NaN
65,145.000000,86.000000,1,1,1.000000,2,142,48,NaN,NaN
66,192.000000,108.000000,1,1,1.000000,1,892,NaN,NaN,NaN
67,205.000000,138.000000,1,1,1.000000,1,187,NaN,NaN,NaN
68,144.000000,93.000000,1,1,1.000000,2,305,107,NaN,NaN
69,201.000000,134.000000,1,1,1.000000,3,234,603,256,NaN
70,176.000000,136.000000,1,1,1.000000,2,477,483,NaN,NaN
71,166.000000,127.000000,1,1,1.000000,2,849,830,NaN,NaN
72,131.000000,79.000000,1,1,1.000000,3,237,203,759,NaN
73,88.000000,92.000000,1,1,1.000000,3,968,644,928,NaN
74,134.000000,83.000000,1,1,1.000000,2,812,895,NaN,NaN
75,184.000000,100.000000,1,1,1.000000,2,448,865,NaN,NaN
76,192.000000,139.000000,1,1,1.000000,3,487,327,537,NaN
77,91.000000,67.000000,1,1,1.000000,2,970,419,NaN,NaN
78,183.000000,131.000000,1,1,1.000000,3,504,468,667,NaN
79,147.000000,70.000000,1,1,1.000000,3,746,50,358,NaN
80,84.000000,91.000000,1,1,1.000000,2,909,754,NaN,NaN
81,132.000000,85.000000,1,1,1.000000,2,791,62,NaN,NaN
82,128.000000,76.000000,1,1,1.000000,1,763,NaN,NaN,NaN
83,190.000000,131.000000,1,1,1.000000,1,809,NaN,NaN,NaN
84,105.000000,83.000000,1,1,1.000000,1,605,NaN,NaN,NaN
85,87.000000,89.000000,1,1,1.000000,1,478,NaN,NaN,NaN
86,166.000000,132.000000,1,1,1.000000,3,882,173,787,NaN
87,178.000000,105.000000,1,1,1.000000,1,109,NaN,NaN,NaN
88,147.000000,104.000000,1,1,1.000000,1,27,NaN,NaN,NaN
89,187.000000,107.000000,1,1,1.000000,3,201,409,1,NaN
90,183.000000,123.000000,1,1,1.000000,1,815,NaN,NaN,NaN
91,188.000000,135.000000,1,1,1.000000,3,953,326,500,NaN
92,142.000000,101.000000,1,1,1.000000,3,152,156,586,NaN
93,180.000000,128.000000,1,1,1.000000,2,100,308,NaN,NaN
94,112.000000,93.000000,1,1,1.000000,2,460,599,NaN,NaN
95,140.000000,74.000000,1,1,1.000000,2,597,368,NaN,NaN
96,187.000000,119.000000,1,1,1.000000,2,738,825,NaN,NaN
97,122.000000,92.000000,1,1,1.000000,2,458,867,NaN,NaN
98,193.000000,133.000000,1,1,1.000000,3,41,615,751,NaN
99,95.000000,102.000000,1,1,1.000000,1,61,NaN,NaN,NaN
100,180.000000,127.000000,1,1,1.000000,1,93,NaN,NaN,NaN
101,182.000000,97.000000,1,1,1.000000,2,602,907,NaN,NaN
102,188.000000,102.000000,1,1,1.000000,2,538,711,NaN,NaN
103,94.000000,97.000000,1,1,1.000000,1,505,NaN,NaN,NaN
104,116.000000,69.000000,1,1,1.000000,2,506,233,NaN,NaN
105,157.000000,121.000000,1,1,1.000000,2,115,1010,NaN,NaN
106,114.000000,96.000000,1,1,1.000000,1,55,NaN,NaN,NaN
107,145.000000,93.000000,1,1,1.000000,3,698,577,68,NaN
108,122.000000,86.000000,1,1,1.000000,2,714,369,NaN,NaN
109,177.000000,105.000000,1,1,1.000000,3,255,373,87,NaN
110,102.000000,92.000000,1,1,1.000000,2,384,824,NaN,NaN
111,184.000000,98.000000,1,1,1.000000,2,728,865,NaN,NaN
112,170.000000,117.000000,1,1,1.000000,2,442,426,NaN,NaN
113,156.000000,111.000000,1,1,1.000000,2,16,962,NaN,NaN
114,103.000000,64.000000,1,1,1.000000,1,558,NaN,NaN,NaN
115,157.000000,120.000000,1,1,1.000000,2,921,105,NaN,NaN
116,106.000000,108.000000,1,1,1.000000,1,915,NaN,NaN,NaN
117,168.000000,136.000000,1,1,1.000000,1,469,NaN,NaN,NaN
