headers=18
lattice=1
L=128
N=1024
D=2
folded=1
phi=0.000488
x0_lo=-0.500000
x0_hi=127.500000
x1_lo=-0.500000
x1_hi=127.500000
x0_periodic=1
x1_periodic=1
iters=33413
alpha=-0.500000
seedMass=1000000000000.000000
maxAttachments=4
columns=12
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4
0,89,93,1,1,1,2,930,968,NaN,NaN
1,58,107,1,1,1,2,891,89,NaN,NaN
2,68,120,1,1,1,2,1008,744,NaN,NaN
3,95,86,1,1,1,2,855,697,NaN,NaN
4,43,4,1,1,1,2,479,700,NaN,NaN
5,10,93,1,1,1,2,999,873,NaN,NaN
6,102,98,1,1,1,2,267,452,NaN,NaN
7,45,107,1,1,1,3,903,747,183,NaN
8,15,97,1,1,1,1,657,NaN,NaN,NaN
9,27,106,1,1,1,1,151,NaN,NaN,NaN
10,29,125,1,1,1,2,934,250,NaN,NaN
11,51,100,1,1,1,3,803,1017,966,NaN
12,58,95,1,1,1,2,194,40,NaN,NaN
13,104,90,1,1,1,2,454,634,NaN,NaN
14,57,102,1,1,1,2,539,788,NaN,NaN
15,4,87,1,1,1,2,835,834,NaN,NaN
16,29,111,1,1,1,1,113,NaN,NaN,NaN
17,39,7,1,1,1,2,469,589,NaN,NaN
18,17,69,1,1,1,1,920,NaN,NaN,NaN
19,3,86,1,1,1,3,62,335,835,NaN
20,116,90,1,1,1,1,474,NaN,NaN,NaN
21,62,108,1,1,1,3,770,291,990,NaN
22,35,123,1,1,1,3,609,196,662,NaN
23,104,61,1,1,1,1,846,NaN,NaN,NaN
24,26,102,1,1,1,3,225,338,223,NaN
25,94,82,1,1,1,2,905,251,NaN,NaN
26,25,106,1,1,1,1,241,NaN,NaN,NaN
27,19,105,1,1,1,4,33,721,88,950
28,58,116,1,1,1,3,376,828,127,NaN
29,94,88,1,1,1,2,324,455,NaN,NaN
30,88,103,1,1,1,3,913,557,405,NaN
31,29,99,1,1,1,1,726,NaN,NaN,NaN
32,35,117,1,1,1,2,145,836,NaN,NaN
33,18,105,1,1,1,1,27,NaN,NaN,NaN
34,23,106,1,1,1,3,756,241,964,NaN
35,58,5,1,1,1,1,583,NaN,NaN,NaN
36,106,91,1,1,1,2,43,774,NaN,NaN
37,122,90,1,1,1,3,458,420,616,NaN
38,121,88,1,1,1,2,618,805,NaN,NaN
39,119,86,1,1,1,3,417,509,806,NaN
40,57,95,1,1,1,2,619,12,NaN,NaN
41,65,4,1,1,1,1,98,NaN,NaN,NaN
42,7,97,1,1,1,2,741,236,NaN,NaN
43,105,91,1,1,1,4,36,211,402,454
44,67,5,1,1,1,2,751,750,NaN,NaN
45,5,79,1,1,1,3,648,759,462,NaN
46,71,125,1,1,1,2,401,282,NaN,NaN
47,53,3,1,1,1,2,185,468,NaN,NaN
48,16,86,1,1,1,3,215,831,65,NaN
