headers=17
lattice=1
N=1024
D=2
maxAttachments=4
folded=1
phi=0.062500
iters=32262
alpha=-0.500000
x0_lo=-0.500000
x0_hi=127.500000
x1_lo=-0.500000
x1_hi=127.500000
x0_periodic=1
x1_periodic=1
seedMass=1.000000
columns=11
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4
0,60,75,0,1,1.000000,2,73,170,NaN,NaN
1,84,105,0,1,1.000000,2,1022,189,NaN,NaN
2,87,108,0,1,1.000000,2,582,379,NaN,NaN
3,71,78,0,1,1.000000,1,322,NaN,NaN,NaN
4,75,6,0,1,1.000000,2,515,617,NaN,NaN
5,1,77,0,1,1.000000,2,980,224,NaN,NaN
6,99,80,0,1,1.000000,2,482,942,NaN,NaN
7,10,101,0,1,1.000000,1,955,NaN,NaN,NaN
8,67,92,0,1,1.000000,2,315,537,NaN,NaN
9,0,106,0,1,1.000000,2,151,974,NaN,NaN
10,3,95,0,1,1.000000,2,1014,696,NaN,NaN
11,81,118,0,1,1.000000,2,113,910,NaN,NaN
12,90,111,0,1,1.000000,3,198,64,660,NaN
13,94,92,0,1,1.000000,3,453,486,255,NaN
14,84,118,0,1,1.000000,2,906,588,NaN,NaN
15,32,91,0,1,1.000000,2,626,654,NaN,NaN
16,7,93,0,1,1.000000,3,448,319,520,NaN
17,118,108,0,1,1.000000,3,504,645,845,NaN
18,3,112,0,1,1.000000,1,686,NaN,NaN,NaN
19,41,85,0,1,1.000000,3,62,351,52,NaN
20,88,79,0,1,1.000000,3,510,875,760,NaN
21,85,9,0,1,1.000000,2,214,944,NaN,NaN
22,124,96,0,1,1.000000,2,668,802,NaN,NaN
23,55,76,0,1,1.000000,2,969,496,NaN,NaN
24,84,109,0,1,1.000000,2,232,554,NaN,NaN
25,72,74,0,1,1.000000,1,571,NaN,NaN,NaN
26,121,84,0,1,1.000000,3,248,317,987,NaN
27,109,90,0,1,1.000000,2,33,623,NaN,NaN
28,99,46,0,1,1.000000,2,852,394,NaN,NaN
29,76,77,0,1,1.000000,3,419,778,656,NaN
30,87,112,0,1,1.000000,3,400,203,661,NaN
31,68,98,0,1,1.000000,3,229,718,93,NaN
32,6,101,0,1,1.000000,2,371,445,NaN,NaN
33,109,91,0,1,1.000000,2,27,395,NaN,NaN
34,112,91,0,1,1.000000,2,370,543,NaN,NaN
35,102,44,0,1,1.000000,2,702,340,NaN,NaN
36,99,87,0,1,1.000000,2,215,467,NaN,NaN
37,121,77,0,1,1.000000,2,678,765,NaN,NaN
38,120,75,0,1,1.000000,1,827,NaN,NaN,NaN
39,106,75,0,1,1.000000,2,218,440,NaN,NaN
40,85,116,0,1,1.000000,3,680,270,239,NaN
41,115,91,0,1,1.000000,2,844,376,NaN,NaN
42,0,82,0,1,1.000000,2,832,243,NaN,NaN
43,98,88,0,1,1.000000,3,215,424,272,NaN
44,117,48,0,1,1.000000,1,1000,NaN,NaN,NaN
45,110,72,0,1,1.000000,3,408,715,404,NaN
46,119,91,0,1,1.000000,2,834,649,NaN,NaN
47,82,107,0,1,1.000000,2,874,952,NaN,NaN
48,59,90,0,1,1.000000,2,144,592,NaN,NaN
49,50,75,0,1,1.000000,2,1019,644,NaN,NaN
50,43,75,0,1,1.000000,1,947,NaN,NaN,NaN
51,93,108,0,1,1.000000,1,795,NaN,NaN,NaN
52,41,86,0,1,1.000000,2,558,19,NaN,NaN
53,85,84,0,1,1.000000,3,749,555,1006,NaN
54,103,92,0,1,1.000000,2,817,469,NaN,NaN
55,106,93,0,1,1.000000,1,341,NaN,NaN,NaN
56,76,127,0,1,1.000000,2,97,262,NaN,NaN
57,126,89,0,1,1.000000,1,904,NaN,NaN,NaN
58,84,113,0,1,1.000000,2,546,147,NaN,NaN
59,111,67,0,1,1.000000,2,950,777,NaN,NaN
60,110,89,0,1,1.000000,1,623,NaN,NaN,NaN
61,79,89,0,1,1.000000,3,417,855,682,NaN
62,42,85,0,1,1.000000,2,19,65,NaN,NaN
63,77,76,0,1,1.000000,2,879,778,NaN,NaN
64,90,112,0,1,1.000000,1,12,NaN,NaN,NaN
65,43,85,0,1,1.000000,1,62,NaN,NaN,NaN
66,88,106,0,1,1.000000,1,542,NaN,NaN,NaN
67,108,56,0,1,1.000000,3,282,948,200,NaN
68,69,96,0,1,1.000000,2,146,727,NaN,NaN
69,124,100,0,1,1.000000,3,80,516,662,NaN
70,0,113,0,1,1.000000,2,429,563,NaN,NaN
71,111,56,0,1,1.000000,2,830,122,NaN,NaN
72,106,69,0,1,1.000000,2,601,310,NaN,NaN
73,61,75,0,1,1.000000,3,386,0,252,NaN
74,110,75,0,1,1.000000,2,907,452,NaN,NaN
75,79,122,0,1,1.000000,3,991,688,88,NaN
76,114,55,0,1,1.000000,1,525,NaN,NaN,NaN
77,49,73,0,1,1.000000,1,442,NaN,NaN,NaN
78,101,104,0,1,1.000000,1,752,NaN,NaN,NaN
79,45,76,0,1,1.000000,2,722,172,NaN,NaN
80,124,101,0,1,1.000000,3,69,306,241,NaN
81,63,90,0,1,1.000000,3,847,148,848,NaN
82,107,74,0,1,1.000000,3,332,822,440,NaN
83,99,68,0,1,1.000000,2,861,207,NaN,NaN
84,112,42,0,1,1.000000,2,932,535,NaN,NaN
85,86,82,0,1,1.000000,1,590,NaN,NaN,NaN
86,69,75,0,1,1.000000,2,561,1015,NaN,NaN
87,111,61,0,1,1.000000,2,562,1004,NaN,NaN
88,80,122,0,1,1.000000,2,75,476,NaN,NaN
89,110,92,0,1,1.000000,1,818,NaN,NaN,NaN
90,75,104,0,1,1.000000,2,430,576,NaN,NaN
91,78,3,0,1,1.000000,2,858,924,NaN,NaN
92,104,45,0,1,1.000000,2,638,919,NaN,NaN
93,67,98,0,1,1.000000,1,31,NaN,NaN,NaN
94,104,99,0,1,1.000000,2,102,140,NaN,NaN
95,101,87,0,1,1.000000,2,467,443,NaN,NaN
