headers=16
lattice=1
N=4096
D=2
maxAttachments=4
folded=1
phi=0.100382
alpha=0.500000
x0_lo=0.000000
x0_hi=202.000000
x1_lo=0.000000
x1_hi=202.000000
x0_periodic=1
x1_periodic=1
seedMass=1000000000000.000000
columns=11
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4
0,76.500000,74.500000,1,1,1.000000,3,2490,195,1538,NaN
1,173.500000,27.500000,1,1,1.000000,2,727,3178,NaN,NaN
2,22.500000,178.500000,1,1,1.000000,2,1179,3426,NaN,NaN
3,21.500000,89.500000,1,1,1.000000,1,3729,NaN,NaN,NaN
4,84.500000,122.500000,1,1,1.000000,2,2862,3869,NaN,NaN
5,67.500000,58.500000,1,1,1.000000,2,3420,636,NaN,NaN
6,137.500000,192.500000,1,1,1.000000,2,2999,1380,NaN,NaN
7,124.500000,15.500000,1,1,1.000000,2,1874,3767,NaN,NaN
8,48.500000,187.500000,1,1,1.000000,3,766,3029,1515,NaN
9,90.500000,195.500000,1,1,1.000000,2,1715,3636,NaN,NaN
10,122.500000,146.500000,1,1,1.000000,4,139,3526,1891,2252
11,128.500000,161.500000,1,1,1.000000,2,2355,704,NaN,NaN
12,87.500000,172.500000,1,1,1.000000,3,3202,2365,2361,NaN
13,21.500000,3.500000,1,1,1.000000,2,3814,3934,NaN,NaN
14,4.500000,134.500000,1,1,1.000000,2,837,1881,NaN,NaN
15,54.500000,181.500000,1,1,1.000000,2,2952,2458,NaN,NaN
16,189.500000,153.500000,1,1,1.000000,1,2119,NaN,NaN,NaN
17,126.500000,163.500000,1,1,1.000000,3,1943,2204,1208,NaN
18,4.500000,149.500000,1,1,1.000000,2,838,2511,NaN,NaN
19,20.500000,93.500000,1,1,1.000000,2,3765,1717,NaN,NaN
20,93.500000,132.500000,1,1,1.000000,2,1519,1088,NaN,NaN
21,48.500000,175.500000,1,1,1.000000,2,2623,2739,NaN,NaN
22,19.500000,188.500000,1,1,1.000000,2,2059,1569,NaN,NaN
23,71.500000,45.500000,1,1,1.000000,3,3744,1463,3011,NaN
24,81.500000,186.500000,1,1,1.000000,2,4002,2396,NaN,NaN
25,12.500000,9.500000,1,1,1.000000,2,281,2447,NaN,NaN
26,37.500000,120.500000,1,1,1.000000,2,1125,3995,NaN,NaN
27,125.500000,22.500000,1,1,1.000000,2,428,2835,NaN,NaN
28,30.500000,7.500000,1,1,1.000000,3,1040,422,3455,NaN
29,2.500000,149.500000,1,1,1.000000,2,921,2328,NaN,NaN
30,164.500000,47.500000,1,1,1.000000,1,3912,NaN,NaN,NaN
31,196.500000,164.500000,1,1,1.000000,1,265,NaN,NaN,NaN
32,83.500000,2.500000,1,1,1.000000,2,3829,348,NaN,NaN
