headers=16
lattice=1
N=4096
D=2
maxAttachments=4
folded=1
phi=0.250000
alpha=0.500000
x0_lo=0.000000
x0_hi=128.000000
x1_lo=0.000000
x1_hi=128.000000
x0_periodic=1
x1_periodic=1
seedMass=1000000000000.000000
columns=11
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4
0,44.500000,63.500000,1,1,1.000000,3,193,1501,2371,NaN
1,124.500000,43.500000,1,1,1.000000,3,1529,3755,2981,NaN
2,0.500000,113.500000,1,1,1.000000,3,1335,3173,1771,NaN
3,16.500000,22.500000,1,1,1.000000,3,3949,831,3197,NaN
4,47.500000,60.500000,1,1,1.000000,2,1439,3177,NaN,NaN
5,35.500000,43.500000,1,1,1.000000,3,3201,3075,1125,NaN
6,97.500000,126.500000,1,1,1.000000,2,3019,1093,NaN,NaN
7,89.500000,20.500000,1,1,1.000000,2,637,2857,NaN,NaN
8,14.500000,121.500000,1,1,1.000000,2,2853,758,NaN,NaN
9,70.500000,119.500000,1,1,1.000000,3,3817,2118,3642,NaN
10,76.500000,70.500000,1,1,1.000000,3,3139,2417,158,NaN
11,81.500000,96.500000,1,1,1.000000,2,543,4041,NaN,NaN
12,56.500000,107.500000,1,1,1.000000,2,3099,2497,NaN,NaN
13,14.500000,8.500000,1,1,1.000000,2,187,3564,NaN,NaN
14,7.500000,57.500000,1,1,1.000000,1,3626,NaN,NaN,NaN
15,24.500000,118.500000,1,1,1.000000,2,3617,2347,NaN,NaN
16,122.500000,88.500000,1,1,1.000000,2,1780,3162,NaN,NaN
17,76.500000,100.500000,1,1,1.000000,2,2372,1882,NaN,NaN
18,7.500000,69.500000,1,1,1.000000,2,2889,355,NaN,NaN
19,6.500000,21.500000,1,1,1.000000,1,714,NaN,NaN,NaN
20,56.500000,73.500000,1,1,1.000000,3,3980,1483,1495,NaN
21,13.500000,116.500000,1,1,1.000000,2,1053,2606,NaN,NaN
22,126.500000,118.500000,1,1,1.000000,3,3394,3946,363,NaN
23,48.500000,35.500000,1,1,1.000000,2,3803,1150,NaN,NaN
24,32.500000,122.500000,1,1,1.000000,3,3712,2290,1413,NaN
25,3.500000,23.500000,1,1,1.000000,2,280,2336,NaN,NaN
26,34.500000,52.500000,1,1,1.000000,3,2344,1104,3707,NaN
27,90.500000,35.500000,1,1,1.000000,3,1827,3094,2008,NaN
28,19.500000,11.500000,1,1,1.000000,2,1022,3289,NaN,NaN
29,9.500000,73.500000,1,1,1.000000,2,1459,378,NaN,NaN
